device /dev/input/event10, name "ELAN Touchscreen", phys "usb-0000:00:14.0-4.4/input0"
(InputEvent(1480382775L, 754033L, 3, 1, 699L), '---', 699L)
(InputEvent(1480382775L, 762046L, 3, 53, 1820L), '---', 1820L)
(InputEvent(1480382775L, 762046L, 3, 54, 700L), '---', 700L)
(InputEvent(1480382775L, 762046L, 3, 60, 1820L), '---', 1820L)
(InputEvent(1480382775L, 762046L, 3, 61, 700L), '---', 700L)
(InputEvent(1480382775L, 762046L, 3, 49, 4L), '---', 4L)
(InputEvent(1480382775L, 762046L, 3, 0, 1820L), '---', 1820L)
(InputEvent(1480382775L, 762046L, 3, 1, 700L), '---', 700L)
(InputEvent(1480382775L, 770034L, 3, 53, 1818L), '---', 1818L)
(InputEvent(1480382775L, 770034L, 3, 54, 701L), '---', 701L)
(InputEvent(1480382775L, 770034L, 3, 60, 1818L), '---', 1818L)
(InputEvent(1480382775L, 770034L, 3, 61, 701L), '---', 701L)
(InputEvent(1480382775L, 770034L, 3, 0, 1818L), '---', 1818L)
(InputEvent(1480382775L, 770034L, 3, 1, 701L), '---', 701L)
(InputEvent(1480382775L, 778043L, 3, 53, 1817L), '---', 1817L)
(InputEvent(1480382775L, 778043L, 3, 60, 1817L), '---', 1817L)
(InputEvent(1480382775L, 778043L, 3, 0, 1817L), '---', 1817L)
(InputEvent(1480382775L, 786090L, 3, 53, 1816L), '---', 1816L)
(InputEvent(1480382775L, 786090L, 3, 54, 702L), '---', 702L)
(InputEvent(1480382775L, 786090L, 3, 60, 1816L), '---', 1816L)
(InputEvent(1480382775L, 786090L, 3, 61, 702L), '---', 702L)
(InputEvent(1480382775L, 786090L, 3, 0, 1816L), '---', 1816L)
(InputEvent(1480382775L, 786090L, 3, 1, 702L), '---', 702L)
(InputEvent(1480382775L, 843036L, 3, 53, 1815L), '---', 1815L)
(InputEvent(1480382775L, 843036L, 3, 60, 1815L), '---', 1815L)
(InputEvent(1480382775L, 843036L, 3, 0, 1815L), '---', 1815L)
(InputEvent(1480382775L, 858933L, 3, 53, 1814L), '---', 1814L)
(InputEvent(1480382775L, 858933L, 3, 60, 1814L), '---', 1814L)
(InputEvent(1480382775L, 858933L, 3, 0, 1814L), '---', 1814L)
(InputEvent(1480382775L, 891059L, 3, 53, 1813L), '---', 1813L)
